Question,A,B,C,D,Answer
指令系统中采⽤不同寻址⽅式的⽬的主要是,实现存储程序和程序控制,可以直接访问外存,缩短指令⻓度，扩⼤寻址空间，提⾼编程灵活性,提供扩展操作码的可能并降低译码难度,C
在IE地址栏输⼊的“http://www.cqu.edu.cn/”中，http代表的是,资源,协议,地址,主机,B
设char str[20]；，从键盘能完整地输⼊字符串“I am a student.”的语句是,str= gets( ),"scanf( ""%c"",str)",gets(str),"scanf( "" %s"",str)",C
下列对OSI参考模型从⾼到低表述正确的是,应⽤层、传输层、互联⽹层、⽹络接⼝层,物理层、数据链路层、传输层、会话层、表示层、应⽤层、⽹络层,应⽤层、表示层、会话层、传输层、⽹络层、数据链路层、物理层,应⽤层、表示层、会话层、⽹络层、数据链路层、传输层、物理层,C
下述叙述正确的是,软件和硬件的界线不是绝对的，有时功能是等效的,软件不可⽤硬件代替,硬件系统不可⽤软件代替,计算机性能完全取决于CPU,A
对处于还原状态的Windows应⽤程序窗⼝，不能实现的操作是,移动,旋转,最⼩化,最⼤化,B
动态半导体存储器的特点是,在⼯作中存储器内容会产⽣变化,在⼯作中需要动态地改变访存地址,每次读出后，需要根据原存内容重新写⼊⼀遍,每隔⼀定时间，需要根据原存内容重新写⼊⼀遍,D
随着中国民族资本主义产生和发展，工商业者群体意识逐渐形成，作为一种新的社会力量，工商业者在创办实业、抵制洋货、收回利权、立宪运动、民主革命、抗日救亡等众多社会事务中日益显示出自身的实力和存在价值。对此，下列历史解释正确的是,工商业者是倡导革命的新中坚力量,工商业者依旧属于传统的社会群体,工商业者投身社会事务是有利可图,工商业者推动了近代中国社会发展,D
《齐民要术》自序：“盖神农为耒耜，以利天下，尧命四子，敬授民时，降命后稷，食为政首，……殷周之盛，《诗》《书》所述，要在安民，富而教之。”这段话主要强调,农业技术和重要性,历法与农业的关系,儒家对农业的重视,改进生产工具的意义,C
明隆庆初年，“抚臣涂泽民用鉴前辙，为因势利导之举，请开市舶，易私贩而为公贩，易只通东西二洋，不得往日本倭国，亦禁不得以硝黄、铜、铁违禁之物夹带出海。奉旨允行，凡三十载，幸大盗不作，而海宇宴如”。这说明当时,官府废止明初以来“海禁”,巡抚掌握对外贸易决策权,官方朝贡贸易体系已瓦解,官府有条件地开放“海禁”,D
长征期间，国内外形势发生重大变化，民族矛盾加剧，中国共产党的方针政策进行重大调整。这一调整是指,召开八七会议，确定武装反抗国民党反动派的总方针,召开七大，确立毛泽东思想的指导地位,发表“八一宣言”，号召停止内战，一致抗日,召开遵义会议，纠正“左”倾错误路线,C
《周礼·考工记》载：建造王城，九里见方，四周各三门，南北和东西大道各九条，宫城之左为宗庙，右为社稷，前为朝，后为市。它体现的主要思想是,中正有序,中央集权,敬天法祖,君权神授,A
在中国古代，褒扬官员德行和政绩，往往称其人为“民之父母”，官员亦以“为民父母”“爱民如子”作为执政的理想境界。这一现象反映出,官员考核主要依据民本思想,“家天下”观念的政治影响,官民之间具有共同政治诉求,宗族关系已成为执政的基础,B
李鸿章在《示文儿》一信中说：“年来国事日非……受人凌辱之原因，莫外乎不谙世事，默守陈法，藏身于文字之间，而卑视工商。岂知世界文明，工商业较重于文字，窥各国之强盛，无独不然。”对材料理解正确的是,“受人凌辱”指的是中国甲午战败,体现了挽救民族危机的愿望,洋务运动抵制了西方的侵略,作者认识到发展工商业的重要性,D
《太平寰宇记》记载当时全国户数：秦岭、淮河以南的户数占全国的59.1%，以北为40.9%。10万户以上的州和府，北方有2处，南方有3处；5万户到10万户的州，北方有5处，南方有17处。南多北少的户口分布格局至此定型。据此判断，《太平寰宇记》成书于,宋代,汉代,秦代,隋代,A
从1876年中英协商《烟台条约》的具体条款开始，英国就要求重庆立即对外通商，力图打开中国西部腹地的市场。中方谈判首脑李鸿章转弯抹角地回应：“轮船未抵重庆以前，英国商民不得在彼居住，开设行栈。”李鸿章此话的主要意图是,借助英国开发西部市场,利用英国开通川江航运,变相地接受英国商民到重庆居住通商,以轮船通航为条件拖延重庆对外通商,D
1959年5月15日，陈云在写给毛泽东的信中提到教训时说：“……把生产数字定得少一点（实际是可靠数字），会泄气，我看也不见得。正如少奇同志在政治局讲的，定高了，做不到，反而会泄气。”据此，你认为上面的应该是,共产风,浮夸风,高速度,高指标,D
1919年11月，全国各界联合会在上海成立，发表宣言：“数月以来，国内之群众运动，风起云涌，虽受种种压迫，而前仆后继，不少顾却；大义当前，绝不退让……全国各地，知合群自救为万不可缓之图。”这说明，当时参加联合会的各界团体,对社会改造道路认识趋于一致,反思资产阶级个人主义的弊端,接受了马克思主义,爱国觉悟得到提高,D
晚清时期清政府实行专利制度，允许企业享有长时间生产经营垄断权。1912年北京政府规定专利保护期限最高为5年。后财政总长周学熙等为其所设公司申请30年的专利权时，未获批准。这反映了民国初期,中央政府限制官营商业的发展,建立了系统完善的经济法制体系,经济法规得以完全遵照执行,经济立法鼓励工商业自由竞争,D
清代有女诗人作诗曰：“人生德与才，兼备方为普。独至评闺材，持论恒相反。有德才可骇俗(兼有)，有才德反损……我意颇不然，此论殊褊浅。”这反映了在清代女性中,德才兼备成为主要的评价标准,产生了维护自身权益的诉求,男女平等思想被普遍接受,出现了对传统伦理思想的反思,D
下列改革中，实现了富国强兵，“倾邻国而雄诸侯”的是,北魏孝文帝改革,商鞅变法,王安石变法,汉武帝改革,B
朱熹在《漳州劝农文》中说：“请诸父老，常为解说，使后生弟子，知所遵守，去恶从善，取是舍非，爱惜体肤，保守家业”。在此，朱熹,告诫乡亲去恶从善以“慎思明辨”,劝导百姓遵循一种“理性”的生活秩序,灌输以农兴业思想以存“天理”,教诲后生弟子遵从“三纲五常”,B
下列说法正确的是,I的原子半径大于Br，HI比HBr的热稳定性强,P的非金属性强于Si，H3PO4比H2SiO3的酸性强,Al2O3和MgO均可与NaOH溶液反应,SO2和SO3混合气体通入Ba(NO3)2溶液可得到BaSO3和BaSO4,B
下列相关实验不能达到预期目的的是,相关实验:把装有颜色相同的NO2和N2O4混合气体的两支试管(密封)分别浸入冷水和热水中。预期目的:探究温度对化学平衡的影响。,相关实验:相同温度下，等质量的大理石块、大理石粉分别与等体积、等浓度的盐酸反应。预期目的:探究接触面积对化学反应速率的影响。,相关实验:两支试管中装有等体积、等浓度的H2O2溶液，向其中一支试管中加入FeCl3溶液。预期目的:探究FeCl3溶液对H2O2分解速率的影响。,相关实验:在蔗糖中加入稀硫酸，水浴加热，再加入新制的氢氧化铜悬浊液并加热。预期目的:探究蔗糖水解产物具有还原性。,D
下列说法中正确的是,电子层数相同的原子核外电子排布，其最外层电子数呈现从1→8的周期性变化,元素性质的周期性变化是指原子半径、元素的主要化合价及原子核外电子排布的周期性变化,从Li→F，Na→Cl，元素的最高化合价均呈现从＋1价→＋7价的变化,元素性质的周期性变化决定于元素原子结构的周期性变化,D
下列两种物质间发生反应，消耗等物质的量的酸，产生气体最多的是,木炭与浓硝酸,铜与稀硝酸,锌与稀硫酸,木炭与浓硫酸,D
下列实验操作或者结论正确的是,配制一定物质的量浓度的溶液时，容量瓶必须洁净、干燥、不漏水,实验室配制500 mL 0.2 mol·L^－1的硫酸亚铁溶液，其操作是：用天平称27.8 g绿矾，放入500 mL容量瓶，加水溶解、稀释、定容、摇匀,实验室里需要480 mL 2.0 mol·L^－1的氢氧化钠溶液，配制溶液时先称量氢氧化钠固体38.4 g，然后再按照溶解、冷却、移液、定容、摇匀等步骤进行操作,25 °C时，用惰性电极电解某浓度的NaOH溶液，一小段时间后，NaOH溶液的浓度可能增大，也可能不变,D
《神农本草经》说：“水银……镕化(加热)还复为丹。”《黄帝九鼎神丹经》中的“柔丹”、“伏丹”都是在土釜中加热Hg制得的。这里的“丹”是指,合金,氯化物,硫化物,氧化物,D
短周期元素X、Y、Z具有如下所列性质：X单质与水发生剧烈的反应。Y最高价氧化物对应水化物(Q)是强酸。Z主要化合价为－2、＋6。则下列说法中正确的是,Q与锌作用时一定能生成氢气,与水反应时，X的单质一定被氧化,符合条件的Y元素只有一种,X、Z的单质在一定条件下能反应,D
下列关于实验操作的说法正确的是,盛放NaOH溶液时，使用带玻璃塞的磨口瓶,使用容量瓶配制溶液时，俯视刻度线定容后所得溶液浓度偏高,用苯萃取溴水中的溴时，将溴的苯溶液从分液漏斗下口放出,证明一瓶红棕色气体是溴蒸气还是二氧化氮，可用湿润的碘化钾淀粉试纸检验，观察试纸颜色的变化,B
下列每个选项中，甲、乙两个反应属于同一种反应类型的是,甲:乙甲烷与氯气反应制备四氯化碳。乙：乙烯通入酸性KMnO4溶液中。,甲:葡萄糖与新制Cu(OH)2悬浊液作用转化为葡萄糖酸。乙：苯与液溴反应制备溴苯。,甲:乙醇转化为乙。乙：乙烯与HCl作用制备氯乙烷。,甲:乙酸乙酯在稀硫酸存在下与水反应。乙：乙醇与冰醋酸反应生成乙酸乙酯。,D
下列叙述正确的,利用化学方法，我们可以制造出新的分子，但不能制造出新的原子,向溶液中加入BaCl2溶液，产生不溶于硝酸的白色沉淀，该溶液中一定含有Ag＋,明矾水解时产生具有吸附性的胶体粒子，故明矾可作漂白剂,“低碳经济”提倡大量使用煤、石油、天然气等化石燃料,A
化学与科学、技术、社会、环境密切相关。下列有关说法错误的是,为防止中秋月饼等富脂食品因被氧化而变质，常在包装袋中放入生石灰或硅胶,国庆节期间燃放的焰火的颜色是某些金属元素焰色反应所呈现出来的色彩,小苏打是制作馒头和面包等糕点的膨松剂，还是治疗胃酸过多的一种药剂,青铜是我国使用最早的合金材料，目前世界上使用量最大的合金材料是钢铁,A
设NA表示阿伏加德罗常数的值，下列关于7.8 g过氧化钠固体的说法正确的是,与足量的CO2反应，转移电子数为0.1NA,其中所含离子总数为0.4NA,与足量的H2O反应，生成O2分子数为0.1NA,其中所含电子总数为0.4NA,A
五种短周期主族元素X、Y、Z、W、M，它们的原子序数依次增大；其中X、W同主族，Y和M同主族；Y、M质子数之和是X、W质子数之和的2倍。下列说法中正确的是,Z在元素周期表中的位置是第二周期ⅥA族,与X形成化合物的稳定性Z＞Y＞M,单质Y和W在常温下化合生成W2Y2,M、W、Y所形成的化合物水溶液呈碱性,B
我国古代文献资料中记载了大量的化学研究过程与成果。下列选项不涉及化学变化的是,原文：水火既济而土和。解释：黏土烧结成陶瓷。,原文：欲去杂还纯，再入水煎炼，倾入盆中，经宿成白雪。解释：重结晶方法提纯物质。,原文：以曾青凃铁，铁赤色如铜。解释：金属的置换。,原文：丹砂烧之成水银，积变又还成丹砂。解释：物质间转化的可逆性。,B
下列各组变化中，前者是物理变化，后者是化学变化的是,碘的升华、石油的分馏,蛋白质溶液中加饱和(NH4)2SO4溶液、蓝色的胆矾常温下变白,NH4Cl溶液除铁锈、食盐水导电,热的饱和KNO3溶液降温析出晶体、二硫化碳洗涤试管内壁上的硫,B
下列叙述正确的是,0.1 mol·L－^1CH3COONa溶液中：c(Na＋)>c(CH3COO－)>c(H＋)>c(OH－),pH＝5的CH3COOH溶液和pH＝5的NH4Cl溶液中，c(H＋)不相等,在Na2S溶液中加入AgCl固体，溶液中c(S2－)下降,Na2CO3溶液加水稀释后，恢复至原温度，pH和Kw均减小,C
列物质的使用不涉及化学变化的是,明矾用作净水剂,生石灰作干燥剂,液氨用作制冷剂,氢氟酸刻蚀玻璃,C
关于离子交换法净化水的过程，下列说'法中错误的是,通过净化处理后，水的导电性降低,阴离子树脂填充段存在反应H+ + OH- = H2O,水中的NO2、SO42-，Cl-通过阴离子树脂后被除,经过阳离子交换树脂后，水中阳离子的总数不变,D
“春蚕到死丝方尽，蜡炬成灰泪始干”是唐代诗人李商隐的著名诗句，下列关于该诗句中所涉及物质的说法错误的是,蚕丝的主要成分是蛋白质,古代的蜡是高级脂肪酸酯，属于高分子聚合物,蚕丝属于天热高分子材料,“蜡炬成灰”过程中发生了氧化反应,B
下列有关实验原理、方法和结论都正确的是,用蒸馏水、酚酞、BaCl2溶液和已知浓度盐酸标准液作试剂，可测定NaOH固体(杂质仅为Na2CO3)的纯度,实验室中的CCl4含有少量溴，加适量的苯，振荡、静置后分液，可除去CCl4中的溴,已知Cu2O＋2H＋===Cu2＋＋Cu＋H2O，氢气还原氧化铜后所得红色固体能完全溶于稀硝酸，说明还原产物是铜,取一定量水垢加盐酸，生成能使澄清石灰水变浑浊的气体，说明水垢的主要成分为CaCO3、MgCO3,A
下列物质性质与应用对应关系正确的是,水玻璃易溶于水，可用于生产黏合剂和防火剂,明矾溶于水能产生Al(OH)3胶体，可用作净水剂,钠和钾的合金具有导电性，可用于快中子反应堆热交换剂,甲醛能使蛋白质变性，可用于食品防腐剂,B
类推法在化学学习中经常采用，下列类推的结论正确的是,由常温下金属钠、铝可溶于NaOH溶液，可知金属镁也能溶于NaOH溶液,常温下，由Cu＋4HNO3(浓)===Cu(NO3)2＋2NO2↑＋2H2O，所以Fe也能与浓硝酸反应产生NO2,由钠保存在煤油中，所以钾也可以保存在煤油中,由Cl2＋2KBr===2KCl＋Br2，所以F2也能与KBr溶液反应置换出Br2,C
下列化合物的分子中，所有原子可能共平面的是,甲苯,乙烷,1，3-丁二烯,丙炔,C
下列说法正确的是,将石蜡油(液态烷烃混合物)加强热分解生成的气体都是烷烃,甲苯能够使溴的四氯化碳溶液和酸性高锰酸钾溶液褪色,乙醇能够被酸性的高锰酸钾溶液直接氧化成乙酸,乙烷与氯气在光照条件下发生加成反应,C
下列变化不能说明发生了化学变化的是,变化时释放或吸收能量,变化时有电子的得失或共用电子对的形成,变化过程中有化学键的断裂和形成,变化前后原子的种类和数目没有改变，分子种类增加了,A
下列说法正确的是,用玻璃棒蘸取某溶液做焰色反应实验，火焰呈黄色并不能说明该溶液中含有钠元素,测氯水的pH值，可用干燥洁净的玻璃棒蘸取氯水点在pH试纸上，待其变色后和标准比色卡比较,实验室从海带中提取单质碘的方法是：取样→灼烧→溶解→过滤→萃取,配制浓硫酸、浓硝酸的混酸时，应将浓硝酸沿玻璃棒缓慢注入浓硫酸中,A
下列有关变化过程的叙述不正确的是,用“地沟油”纯化生产“生物燃油”的过程发生的是化学变化,从海水中提取镁必须通过化学反应才能实现,用侯氏制碱法制纯碱必须通过化学反应才能实现,激光法蒸发石墨得C60发生的是化学变化,A
古代的很多成语、谚语都蕴含着很多科学知识，下列对成语、谚语的解释正确的是,“玉不琢不成器”，“百炼方能成钢”发生的均为化学变化,“火树银花”中的焰火实质上是金属元素的焰色反应,“甘之如饴”说明糖类均有甜味,“爆竹声中除旧岁，春风送暖入屠苏”。爆竹爆炸发生的是分解反应,B
"设集合$M=\left\{ -1,0,2,8 \right\},N=\left\{x|x\leqslant 2 \right\}$ ，则 $M\cap N =$","{—1,0,1}","{0,1,2}","{0,1}","{—1,0,1,2}",D
命题“若⼀个数是负数，则它的平⽅是正数”的逆命题是,“若⼀个数的平⽅是正数，则它是负数”,“若⼀个数不是负数，则它的平⽅不是正数”,“若⼀个数是负数，则它的平⽅不是正数”,“若⼀个数的平⽅不是正数，则它不是负数”,A
若数列${a_n}$的通项公式是$a_n=2(n+1)+3$则此数列,是公差为5的等差数列,不是等差数列,是公差为2的等差数列,是公差为3的等差数列,C
在△ABC中，a，b，c分别是⻆A，B，C所对的边，且a＝6，b＝8，A＝30°，则满⾜条件的三⻆形有,无数个,1个,0个,2个,D
设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$a^{2}=b^{2}+c^{2}-bc$，则A=,$2\frac{\pi}{3}$,$\frac{\pi}{4}$,$\frac{\pi}{6}$,$\frac{\pi}{3}$,D
下列正确的是,{0}=0,0属于{0},以上都不对,0真包含于{0},B
设等比数列{a_n}的前n项的和为S_n，若S_10:S_5=1:2，则S_15:S_5等于,02:03:00,01:03:00,01:02:00,03:04:00,D
某学院的A，B，C三个专业共有1200名学⽣，为了调查这些学⽣勤⼯俭学的情况，拟采⽤分层抽样的⽅法抽取⼀个容量为120的样本．已知该学院的A专业有380名学⽣，B专业有420名学⽣，则在该学院的C专业应抽取的学⽣是,120名,38名,40名,42名,A
"已知a=log_{2}0.2, b=2^0.2, c=0.2^0.3，则",a<b<c,c<a<b,b<c<a,a<c<b,D
某校现有⾼⼀学⽣210⼈，⾼⼆学⽣270⼈，⾼三学⽣300⼈，⽤分层抽样的⽅法从这三个年级的学⽣中随机抽取n名学⽣进⾏问卷调查，如果已知从⾼⼀学⽣中抽取的⼈数为7，那么从⾼三学⽣中抽取的⼈数应为,9,26,25,10,D
下列元素中属于集合{x|x=2k k是⾃然数}的是,-2,3,10,7,C
"在$\bigtriangleup ABC$中，$cos\frac{C}{2}=\frac{\sqrt{5}}{5},BC=1, AC=5$，则AB等于",$2\sqrt{5}$,$4\sqrt{2}$,$\sqrt{29}$,$\sqrt{30}$,B
"若x\in R, 则“x>1” 是 ""|x|>1""的",既⾮充分也⾮必要条件,充分⾮必要条件,充分必要条件,必要⾮充分条件,B
在集合﹛1，2，3，4…，10﹜中任取⼀个元素，所取元素恰好满⾜⽅程cos（30°•x ）= 1/2 的概率为,44931,44930,44932,44929,A
下列求导运算正确的事,(x^3)'=3x^2,(x^2 cos(x))'=-2xsin(x),(x^2+1)'=2x+1,(1/x)'=1/x^2,A
已知函数$f(3x)=log_{2}\sqrt{(9x+1)/2}，则f(1)的值为,44928,2,1,log_{2}\sqrt{5},A
函数$y=log(x^{2}-1)$的定义域是,"$[-1,1]$","$(-\infty ,-1]\cup[1,+\infty)$","$(-\infty ,-1)\cup(1,+\infty)$","$(-1,1)$",C
已知集合$A={x|y=\sqrt{4-x^4}}$，集合$B={x|x>=a}$，则$A\subseteq B$的一个充分不必要条件是,"(-\inf,-2)","[2,+\inf)","(-\inf,-2]","(2,+?)",A
在空间中，下列命题正确的是,平⾏于同⼀直线的两个平⾯平⾏,垂直于同⼀平⾯的两条直线平⾏,平⾏于同⼀平⾯的两条直线平⾏,垂直于同⼀直线的两条直线平⾏,B
